ENERGIA|RASVA|KERTATYYDYTTYMATTOMAT|MONITYYDYTTYMATTOMAT|N3|LINOLI|ALFALINOLEENI|PROTEIINI|DHA|KUITU|A|B1|B2|B3|B6|B9|B12|C|D|E|CA|P|K|MG|FE|ZN|I|SE|OSOITE
Appelsiini|Appelsiinia|138|0.1|0.0|0.0|0.0|23|20|0.4|0|1.5|5.3|0.06|0.03|0.3|0.06|19.1|0|36.7|0|0.3|38.9|16.6|108.0|9.4|0.1|0.0|0.4|0.0|appelsiini-valencia-late-egypti/2000780400005
Banaani|Banaania|246|0.3|0.0|0.0|0.0|18|13|0.8|0|1.2|1.1|0.03|0.04|0.5|0.34|8.4|0|6.7|0|0.1|4.2|16.7|240.2|21.0|0.7|0.1|0.7|0.2|chiquita-banaani/2000503600002
Bataatti|Bataattia|339|0.0|0.0|0.0|0.0|13|1|1.6|0|3.0|706.5|0.08|0.06|0.6|0.21|11.0|0|2.4|0|0.3|30.0|47.0|337.0|25.0|0.6|0.3|2.0|0.6|bataatti-irto/2000626100007
Broileri|Broileria|494|4.6|2.2|0.9|0.1|654|106|19.2|9|0|30.0|0.12|0.27|4.9|0.28|15.6|1.0|0|0.5|0.7|8.0|163.0|211.0|18.0|0.6|1.8|8.0|23.0|kotimaista-kanan-koipireisi-marinoitu-n1-1kg/2357310300008
Edamjuusto|Edamjuustoa|1425|25.7|6.0|0.6|0.1|340|111|26.5|0|0|204.3|0.03|0.36|0.0|0.06|20.0|2.1|0|0.2|0.4|893.0|510.0|80.0|30.0|0.2|4.2|25.1|20.5|valio-hyva-suomalainen-arki-juusto-e1-25-kg/6408430337590
Emmentaljuusto|Emmentaljuustoa|1584|30.0|7.4|0.8|0.1|456|131|27.9|0|0|245.7|0.02|0.30|0.1|0.06|20.0|2.0|0|0.2|0.5|939.0|550.0|70.0|34.0|0.2|4.1|38.9|19.3|x-tra-emmental-29----400-g/7340011427025
Herne (kuivattu)|Hernettä (kuivattua)|1025|1.6|0.3|0.5|0.0|410|85|19.4|0|20.0|111.2|0.62|0.07|3.0|0.16|33.0|0|0|0|0.0|64.0|362.0|918.0|110.0|4.8|2.9|15.0|2.1|kotimaista-suomalainen-herne-500-g/6415712002114
Jäävuorisalaatti|Jäävuorisalaattia|48|0.1|0.0|0.0|0.0|20|39|0.9|0|1.0|81.6|0.03|0.02|0.4|0.10|38.6|0|2.7|0|0.6|56.0|40.0|360.0|21.0|0.7|0.5|1.0|0.2|kotimaista-suomalainen-ruukkujaasalaatti-100-g/6414894500128
Sikanautajauheliha|Sikanautajauhelihaa|1112|22.0|9.9|1.5|0.1|1186|145|17.6|0|0|16.9|0.25|0.16|4.9|0.39|1.5|1.0|0|0.3|0.4|10.0|130.0|230.0|15.0|1.1|3.6|3.0|20.0|kotimaista-700g-sika-nauta-jauheliha/6414893502482
Maustettu jogurtti|Maustettua jogurttia|360|2.0|0.4|0.0|0.0|30|10|3.6|0|0.2|18.6|0.03|0.16|0.1|0.05|5.2|0.3|3.1|0.0|0.0|125.7|78.7|168.5|10.4|0.0|0.4|14.4|2.4|x-tra-metsamansikkajogurtti-1kg/6415712614522
Kaali|Kaalia|131|0.1|0.0|0.0|0.0|28|48|1.2|0|2.5|5.5|0.07|0.05|0.4|0.16|29.9|0|36.8|0|0.0|38.0|27.0|240.0|10.0|0.2|0.1|1.0|10.0|kerakaali/2004198100007
