NIMI|GENTETIIVI|ENERGIA|RASVA|KERTATYYDYTTYMATTOMAT|MONITYYDYTTYMATTOMAT|N3|LINOLI|ALFALINOLEENI|PROTEIINI|DHA|KUITU|A|B1|B2|B3|B6|B9|B12|C|D|E|CA|P|K|MG|FE|ZN|I|SE|OSOITE
Appelsiini|Appelsiinia|138|0.1|<0.1|<0.1|<0.1|23|20|0.4|0|1.5|5.3|0.06|0.03|0.3|0.06|19.1|0|36.7|0|0.3|38.9|16.6|108.0|9.4|0.1|<0.1|0.4|<0.1|appelsiini-valencia-late-egypti/2000780400005
Banaani|Banaania|246|0.3|<0.1|<0.1|<0.1|18|13|0.8|0|1.2|1.1|0.03|0.04|0.5|0.34|8.4|0|6.7|0|0.1|4.2|16.7|240.2|21.0|0.7|0.1|0.7|0.2|chiquita-banaani/2000503600002
Bataatti|Bataattia|339|<0.1|<0.1|<0.1|<0.1|13|1|1.6|0|3.0|706.5|0.08|0.06|0.6|0.21|11.0|0|2.4|0|0.3|30.0|47.0|337.0|25.0|0.6|0.3|2.0|0.6|bataatti-irto/2000626100007
Broileri|Broileria|494|4.6|2.2|0.9|0.1|654|106|19.2|9|0|30.0|0.12|0.27|4.9|0.28|15.6|1.0|0|0.5|0.7|8.0|163.0|211.0|18.0|0.6|1.8|8.0|23.0|kotimaista-kanan-koipireisi-marinoitu-n1-1kg/2357310300008
Edamjuusto|Edamjuustoa|1425|25.7|6.0|0.6|0.1|340|111|26.5|0|0|204.3|0.03|0.36|<0.1|0.06|20.0|2.1|0|0.2|0.4|893.0|510.0|80.0|30.0|0.2|4.2|25.1|20.5|valio-hyva-suomalainen-arkir-juusto-e1-25-kg/6408430337590
Emmentaljuusto|Emmentaljuustoa|1584|30.0|7.4|0.8|0.1|456|131|27.9|0|0|245.7|0.02|0.30|0.1|0.06|20.0|2.0|0|0.2|0.5|939.0|550.0|70.0|34.0|0.2|4.1|38.9|19.3|valio-hyva-suomalainen-arkir-emmental-e625-g/6408430341887
Herne (kuivattu)|Hernettä (kuivattua)|1025|1.6|0.3|0.5|<0.1|410|85|19.4|0|20.0|111.2|0.62|0.07|3.0|0.16|33.0|0|0|0|<0.1|64.0|362.0|918.0|110.0|4.8|2.9|15.0|2.1|kuivattu-herne/7027510202338
Jäävuorisalaatti|Jäävuorisalaattia|48|0.1|<0.1|<0.1|<0.1|20|39|0.9|0|1.0|81.6|0.03|0.02|0.4|0.10|38.6|0|2.7|0|0.6|56.0|40.0|360.0|21.0|0.7|0.5|1.0|0.2|jaavuorisalaatti-pakattu/2003154600001
Sikanautajauheliha|Sikanautajauhelihaa|1112|22.0|9.9|1.5|0.1|1186|145|17.6|0|0|16.9|0.25|0.16|4.9|0.39|1.5|1.0|0|0.3|0.4|10.0|130.0|230.0|15.0|1.1|3.6|3.0|20.0|kotimaista-sika-nauta-jauheliha-400g/6414893500075
Maustettu jogurtti|Maustettua jogurttia|360|2.0|0.4|<0.1|<0.1|30|10|3.6|0|0.2|18.6|0.03|0.16|0.1|0.05|5.2|0.3|3.1|<0.1|<0.1|125.7|78.7|168.5|10.4|<0.1|0.4|14.4|2.4|valio-hyva-suomalainen-arkir-jogurtti-1-kg-marjamix/6408430021376
Kaali|Kaalia|131|0.1|<0.1|<0.1|<0.1|28|48|1.2|0|2.5|5.5|0.07|0.05|0.4|0.16|29.9|0|36.8|0|<0.1|38.0|27.0|240.0|10.0|0.2|0.1|1.0|10.0|kerakaali/2004198100007
Kaura|Kauraa|1599|7.2|2.7|2.7|<0.1|2619|90|13.6|0|10.0|0|0.33|0.09|0.8|0.13|43.6|0|0|0|0.8|47.0|471.0|414.0|142.0|4.7|3.6|20.0|12.0|kotimaista-1kg-kaurahiutale/6415712000813
Kevytmaito|Kevytmaitoa|191|1.5|0.4|<0.1|<0.1|21|5|3.0|0|0|12.9|0.04|0.18|0.1|0.05|4.2|0.4|1.1|1.0|<0.1|120.0|90.0|150.0|11.0|<0.1|0.4|13.8|2.8|valio-hyva-suomalainen-arkir-kevytmaitojuoma-1-75-l/6408430000630
Lohi|Lohta|415|6.2|2.7|1.7|1.3|305|58|10.9|754|0|14.6|0.07|0.06|5.5|0.31|7.0|3.2|0|5.1|0.9|84.5|169.0|273.0|16.2|0.3|0.3|16.2|8.8|rainbow-lohi-150g105g/7340191103542
Kukkakaali|Kukkakaalia|102|0.2|<0.1|0.1|0.1|36|105|2.0|0|2.2|0.9|0.10|0.06|0.6|0.15|85.9|0|51.8|0|<0.1|28.0|44.0|330.0|16.0|0.5|0.2|1.0|10.0|rainbow-kukkakaali-400g-pakaste/7340191123328
Kurkku|Kurkkua|47|0.1|<0.1|<0.1|<0.1|15|26|0.7|0|0.7|11.2|0.04|0.09|0.2|0.04|9.7|0|8.0|0|<0.1|14.7|29.3|221.8|8.8|0.2|<0.1|1.0|0.5|kurkku-suomi/2000604700007
Lanttu|Lanttua|146|0.1|<0.1|<0.1|<0.1|19|47|1.1|0|2.9|0.1|0.06|0.06|1.2|0.12|50.1|0|45.6|0|0|42.0|41.0|350.0|12.0|0.2|0.1|1.0|10.0|lanttu-pesty-irto-i-suomi/2000605200001
Laktoositon kevytmaito|Laktoositonta kevytmaitoa|162|1.5|0.4|<0.1|<0.1|21|5|3.3|0|0|17.0|0.04|0.18|0.1|0.05|4.2|0.4|1.1|1.0|<0.1|120.0|90.0|150.0|11.0|<0.1|0.4|13.8|2.8|kotimaista-laktoositon-kevytmaitojuoma-1-l/6414893385672
Laktoositon rasvaton maito|Laktoositonta rasvatonta maitoa|115|0.1|<0.1|<0.1|<0.1|3|<1|3.3|0|0|0.8|0.03|0.19|0.1|0.05|4.2|0.4|1.2|1.0|<0.1|121.0|90.0|160.0|12.0|<0.1|0.4|15.0|2.8|kotimaista-1l-laktoositon-rasvaton-maitojuoma/6414893385658
Maapähkinä|Maapähkinöitä|2307|43.0|17.2|11.6|<0.1|11601|20|25.6|0|8.5|0.2|0.90|0.12|13.8|0.13|110.0|0|0|0|10.9|78.0|330.0|670.0|180.0|2.9|3.1|5.0|3.0|rainbow-1kg-natural-peanuts-maapahkina/7340011452362
Maissi|Maissia|563|1.4|0.3|0.6|<0.1|605|31|2.8|0|3.7|7.0|0.15|0.08|1.9|0.22|41.0|0|12.0|0|<0.1|2.0|89.0|270.0|37.0|0.5|0|0|0.4|rainbow-330285g-maissinjyvat-suolaliemessa/6415719498835
Mandariini|Mandariinia|152|0.2|<0.1|<0.1|<0.1|25|22|0.5|0|1.5|16.7|0.06|0.03|0.3|0.07|16.8|0|32.8|0|0.3|29.6|12.8|120.0|10.4|0.2|<0.1|0.8|<0.1|mandariini/2000562800009
Margariini|Margariinia|1486|40.0|17.8|8.7|2.8|5947|2779|0.3|0|0|800.0|0|0|0|0|0|0|0|10.0|7.0|13.6|2.6|12.1|2.1|<0.1|<0.1|<0.1|<0.1|rainbow-400g-kevyt-laktoositon-margariini-40/6414893012318
Meetvursti|Meetvurstia|1556|31.6|14.4|4.0|0.6|3120|487|22.3|0|0|11.9|0.40|0.18|5.6|0.51|6.5|1.4|0|0.3|0.6|21.7|213.2|392.2|34.6|2.2|2.9|4.2|17.0|x-tra-meetvursti-500g/6415711803552
Kananmuna|Kananmunaa|494|8.1|3.2|1.1|0.2|842|58|11.1|94|0|231.6|0.10|0.33|<0.1|0.12|51.3|2.2|0|1.9|1.6|50.2|184.8|114.4|11.4|1.5|1.2|37.2|29.0|x-tra-virike-kananmuna-m15-870g/6414891802478
Mustaherukka|Mustaherukkaa|310|1.1|<0.1|<0.1|<0.1|45|27|1.4|0|5.8|8.2|0.04|0.02|0.3|0.08|14.2|0|128.0|0|2.2|72.0|58.0|340.0|24.0|1.2|0.3|1.0|0.1|mustaherukka-400g-ulkolainen-pakaste/6427401445003
Mustikka|Mustikkaa|257|0.3|<0.1|0.2|0.1|123|117|0.3|0|3.3|3.9|0.13|0.01|0.4|0.06|11.2|0|15.6|0|1.9|6.7|9.8|71.0|4.9|0.8|<0.1|1.0|10.0|kotimaista-200g-mustikka-pakaste/6414893101005
